Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,2.260000,2.280000,2.210000,2.240000,2.240000,117200
2020-07-21,2.230000,2.260000,2.160000,2.200000,2.200000,107200
2020-07-22,2.200000,2.200000,2.140000,2.160000,2.160000,52400
2020-07-23,2.140000,2.200000,2.090000,2.140000,2.140000,80800
2020-07-24,2.110000,2.160000,2.090000,2.100000,2.100000,74900
2020-07-27,2.130000,2.650000,2.130000,2.620000,2.620000,1645700
2020-07-28,9.630000,11.800000,7.620000,7.940000,7.940000,284666800
2020-07-29,18.430000,60.000000,17.500000,33.200001,33.200001,276020100
2020-07-30,43.580002,44.439999,27.500000,29.830000,29.830000,98747500
2020-07-31,25.020000,25.700001,20.270000,21.850000,21.850000,57323800
2020-08-03,21.129999,21.160000,14.740000,14.940000,14.940000,47189200
2020-08-04,15.080000,17.879999,12.860000,14.400000,14.400000,65895200
2020-08-05,15.510000,16.000000,13.720000,14.900000,14.900000,25496800
2020-08-06,15.110000,17.500000,14.800000,16.110001,16.110001,39493100
2020-08-07,15.790000,16.750000,14.570000,14.880000,14.880000,16139300
2020-08-10,8.900000,11.600000,8.500000,10.730000,10.730000,47435800
2020-08-11,11.260000,11.350000,9.950000,10.010000,10.010000,19420200
2020-08-12,10.400000,10.470000,9.540000,9.720000,9.720000,9499800
2020-08-13,9.500000,9.670000,9.010000,9.200000,9.200000,8791200
2020-08-14,9.070000,9.180000,8.220000,8.430000,8.430000,10571500
2020-08-17,8.340000,8.370000,7.550000,7.640000,7.640000,9350300
2020-08-18,7.340000,13.690000,6.680000,8.010000,8.010000,72777500
2020-08-19,8.200000,9.090000,7.730000,7.790000,7.790000,32261500
2020-08-20,7.780000,8.000000,7.090000,7.180000,7.180000,13743900
2020-08-21,7.000000,8.020000,6.520000,6.880000,6.880000,26249300
2020-08-24,6.830000,7.500000,6.700000,7.000000,7.000000,13844200
2020-08-25,6.980000,7.440000,6.570000,6.760000,6.760000,13970300
2020-08-26,6.750000,6.750000,6.090000,6.310000,6.310000,11812300
2020-08-27,6.170000,6.240000,5.720000,5.880000,5.880000,11650300
2020-08-28,5.860000,6.400000,5.660000,6.020000,6.020000,13991000
2020-08-31,5.900000,6.370000,5.850000,5.980000,5.980000,19151200
2020-09-01,9.480000,9.870000,7.210000,7.300000,7.300000,106239600
2020-09-02,7.320000,7.500000,6.770000,7.160000,7.160000,19328700
2020-09-03,7.000000,7.080000,6.410000,6.460000,6.460000,13400800
2020-09-04,6.400000,6.500000,5.950000,6.100000,6.100000,8801300
2020-09-08,5.900000,5.930000,5.510000,5.530000,5.530000,9758100
2020-09-09,5.640000,6.530000,5.550000,5.820000,5.820000,15551800
2020-09-10,5.820000,6.250000,5.730000,5.930000,5.930000,12752500
2020-09-11,6.260000,6.600000,6.020000,6.400000,6.400000,20467800
2020-09-14,6.230000,6.730000,6.110000,6.500000,6.500000,8882400
2020-09-15,6.480000,6.530000,5.940000,6.230000,6.230000,11014900
2020-09-16,9.440000,11.440000,8.140000,8.510000,8.510000,187625500
2020-09-17,8.480000,11.040000,8.010000,10.700000,10.700000,101916100
2020-09-18,11.690000,12.510000,10.830000,12.110000,12.110000,150084000
2020-09-21,10.150000,10.990000,9.260000,10.490000,10.490000,43448600
2020-09-22,10.010000,10.790000,9.660000,10.040000,10.040000,21649400
2020-09-23,9.760000,9.890000,8.690000,8.930000,8.930000,17583700
2020-09-24,8.340000,9.690000,7.820000,8.770000,8.770000,17876200
2020-09-25,9.010000,9.490000,8.950000,9.320000,9.320000,9916000
2020-09-28,9.360000,9.610000,8.950000,9.310000,9.310000,7260600
2020-09-29,9.120000,9.290000,8.860000,9.000000,9.000000,5114200
2020-09-30,8.850000,9.490000,8.710000,8.820000,8.820000,8557700
2020-10-01,8.880000,9.130000,8.670000,8.820000,8.820000,6346700
2020-10-02,8.430000,9.050000,8.320000,8.760000,8.760000,7798700
2020-10-05,8.760000,9.360000,8.580000,9.030000,9.030000,10434500
2020-10-06,8.970000,9.320000,8.710000,8.750000,8.750000,8445800
2020-10-07,8.910000,9.060000,8.740000,8.980000,8.980000,6048400
